name columns
"Базовое содержание общ. имущ. в МКД" 3
"Текущий ремонт общ. имущ. в МКД" 3
"Сод. и ремонт СКД, СВ., АППЗ, автом, дымоудаления" 3
"Эксплуатация лифт. оборудования" 3
"Орг-я раб. Аварийно-Диспет. службы" 3
"Обслуж. котельной, ИТП, насосной станции" 3
"Содерж. придом. территории" 3
"Уборка МОП" 3
"Замена моющихся ковров" 3
"Управление МКД" 3
ХВС 4
"ГВС теплоноситель" 4
"ГВС тепловая энергия" 4
"Канализация хол.воды" 4
"Канализация гор.воды" 4
"Отопление (расход газа)" 4
"Отопление (расход электроэнергии)" 4
"Охрана комплекса" 3
"Содержание зеленых насаждений, газонов" 3
