name units columns
"Базовое содержание общ. имущ. в МКД" м² 0,-1,1,3,4
"Текущий ремонт общ. имущ. в МКД" м² 0,-1,1,3,4
"Сод. и ремонт СКД, СВ., АППЗ, автом, дымоудаления" м² 0,-1,1,3,4
"Эксплуатация лифт. оборудования" м² 0,-1,1,3,4
"Орг-я раб. Аварийно-Диспет. службы" м² 0,-1,1,3,4
"Обслуж. котельной, ИТП, насосной станции" м² 0,-1,1,3,4
"Содерж. придом. территории" м² 0,-1,1,3,4
"Уборка МОП" м² 0,-1,1,3,4
"Замена моющихся ковров" м² 0,-1,1,3,4
"Управление МКД" м² 0,-1,1,3,4
ХВС м³ 0,1,2,4,5
"ГВС теплоноситель" м³ 0,1,2,4,5
"ГВС тепловая энергия" Гкал 0,1,2,4,5
"Канализация хол.воды" м³ 0,1,2,4,5
"Канализация гор.воды" м³ 0,1,2,4,5
"Отопление (расход газа)" м³ 0,1,2,4,5
"Отопление (расход электроэнергии)" кВт.ч 0,1,2,4,5
"Охрана комплекса" м² 0,-1,1,3,4
"Содержание зеленых насаждений, газонов / Вывоз снега" м² 0,-1,1,3,4
